,role,buy,round,sell,time
387,spades,24,26.0,23,2024-02-22 18:49:01
388,spades,24,26.0,23,2024-02-22 18:49:03
389,spades,26,26.0,25,2024-02-22 18:49:37
390,spades,24,27.0,23,2024-02-22 18:49:45
391,spades,22,27.0,21,2024-02-22 18:49:49
392,spades,23,27.0,22,2024-02-22 18:49:52
393,spades,21,27.0,20,2024-02-22 18:50:04
394,spades,21,27.0,18,2024-02-22 18:50:06
395,spades,21,27.0,17,2024-02-22 18:50:08
396,spades,17,27.0,13,2024-02-22 18:50:18
397,spades,13,27.0,10,2024-02-22 18:50:36
398,spades,13,27.0,9,2024-02-22 18:50:40
399,spades,16,28.0,12,2024-02-22 18:51:28
400,spades,30,28.0,026,2024-02-22 18:51:37
401,spades,30,28.0,026,2024-02-22 18:51:39
402,spades,30,28.0,026,2024-02-22 18:51:44
403,spades,20,28.0,16,2024-02-22 18:51:55
404,spades,24,29.0,20,2024-02-22 18:53:04
405,spades,26,29.0,22,2024-02-22 18:53:10
406,spades,26,29.0,24,2024-02-22 18:53:12
407,spades,30,29.0,034,2024-02-22 18:53:34
408,spades,44,29.0,40,2024-02-22 18:53:55
409,spades,44,29.0,40,2024-02-22 18:53:59
410,spades,03,30.0,0,2024-02-22 18:54:25
411,spades,03,30.0,0,2024-02-22 18:54:29
412,hearts,41,1.0,40,2024-02-22 18:08:34
413,hearts,25,1.0,22,2024-02-22 18:08:57
414,hearts,24,1.0,20,2024-02-22 18:09:00
415,hearts,24,1.0,21,2024-02-22 18:09:01
416,hearts,25,2.0,21,2024-02-22 18:10:04
417,hearts,25,2.0,22,2024-02-22 18:10:06
418,hearts,24,2.0,22,2024-02-22 18:10:10
419,hearts,25,2.0,23,2024-02-22 18:10:38
420,hearts,25,2.0,24,2024-02-22 18:10:40
421,hearts,28,2.0,25,2024-02-22 18:10:59
422,hearts,27,3.0,24,2024-02-22 18:11:57
423,hearts,26,3.0,23,2024-02-22 18:12:02
424,hearts,24,3.0,21,2024-02-22 18:12:05
425,hearts,25,4.0,23,2024-02-22 18:13:11
426,hearts,26,4.0,24,2024-02-22 18:13:13
427,hearts,23,4.0,21,2024-02-22 18:13:17
428,hearts,23,4.0,19,2024-02-22 18:13:18
429,hearts,21,4.0,19,2024-02-22 18:13:19
430,hearts,21,4.0,17,2024-02-22 18:13:23
431,hearts,21,4.0,17,2024-02-22 18:13:31
432,hearts,20,4.0,16,2024-02-22 18:13:34
433,hearts,21,4.0,17,2024-02-22 18:14:07
434,hearts,22,4.0,18,2024-02-22 18:14:09
435,hearts,22,4.0,19,2024-02-22 18:14:12
436,hearts,22,4.0,20,2024-02-22 18:14:17
437,hearts,23,4.0,21,2024-02-22 18:14:23
438,hearts,24,4.0,22,2024-02-22 18:14:25
439,hearts,23,5.0,21,2024-02-22 18:14:44
440,hearts,22,5.0,18,2024-02-22 18:14:46
441,hearts,18,5.0,15,2024-02-22 18:14:53
442,hearts,19,5.0,16,2024-02-22 18:15:02
443,hearts,20,5.0,17,2024-02-22 18:15:03
444,hearts,21,5.0,18,2024-02-22 18:15:05
445,hearts,21,5.0,19,2024-02-22 18:15:07
446,hearts,22,5.0,20,2024-02-22 18:15:09
447,hearts,24,5.0,21,2024-02-22 18:15:13
448,hearts,25,5.0,23,2024-02-22 18:15:15
449,hearts,30,6.0,28,2024-02-22 18:16:21
450,hearts,22,6.0,24,2024-02-22 18:16:26
451,hearts,19,6.0,18,2024-02-22 18:16:29
452,hearts,14,6.0,11,2024-02-22 18:16:33
453,hearts,10,6.0,9,2024-02-22 18:16:41
454,hearts,9,6.0,6,2024-02-22 18:16:45
455,hearts,7,6.0,3,2024-02-22 18:16:47
456,hearts,6,6.0,2,2024-02-22 18:16:52
457,hearts,4,6.0,1,2024-02-22 18:16:55
458,hearts,6,6.0,4,2024-02-22 18:17:05
459,hearts,8,6.0,7,2024-02-22 18:17:07
460,hearts,9,6.0,8,2024-02-22 18:17:12
461,hearts,9,6.0,6,2024-02-22 18:17:14
462,hearts,8,6.0,6,2024-02-22 18:17:16
463,hearts,11,7.0,8,2024-02-22 18:17:51
464,hearts,12,7.0,9,2024-02-22 18:17:54
465,hearts,14,7.0,11,2024-02-22 18:17:56
466,hearts,16,7.0,12,2024-02-22 18:17:58
467,hearts,15,8.0,11,2024-02-22 18:19:48
468,hearts,16,8.0,13,2024-02-22 18:19:54
469,hearts,16,8.0,15,2024-02-22 18:20:06
470,hearts,18,8.0,15,2024-02-22 18:20:07
471,hearts,19,10.0,16,2024-02-22 18:23:12
472,hearts,20,10.0,17,2024-02-22 18:23:14
473,hearts,20,10.0,16,2024-02-22 18:23:18
474,hearts,21,10.0,17,2024-02-22 18:23:25
475,hearts,23,11.0,19,2024-02-22 18:24:08
476,hearts,24,11.0,20,2024-02-22 18:24:10
477,hearts,25,11.0,21,2024-02-22 18:24:12
478,hearts,26,11.0,22,2024-02-22 18:24:14
479,hearts,27,11.0,23,2024-02-22 18:24:16
480,hearts,26,11.0,22,2024-02-22 18:24:24
481,hearts,24,11.0,20,2024-02-22 18:24:27
482,hearts,23,11.0,19,2024-02-22 18:24:29
483,hearts,22,11.0,18,2024-02-22 18:24:33
484,hearts,20,11.0,16,2024-02-22 18:24:35
485,hearts,18,11.0,14,2024-02-22 18:24:38
486,hearts,17,11.0,13,2024-02-22 18:24:42
487,hearts,16,11.0,13,2024-02-22 18:25:19
488,hearts,15,12.0,13,2024-02-22 18:26:44
489,hearts,15,12.0,13,2024-02-22 18:26:54
490,hearts,17,15.0,15,2024-02-22 18:30:11
491,hearts,17,15.0,16,2024-02-22 18:30:16
492,hearts,18,15.0,16,2024-02-22 18:30:19
493,hearts,18,15.0,17,2024-02-22 18:30:21
494,hearts,19,15.0,17,2024-02-22 18:30:25
495,hearts,21,15.0,18,2024-02-22 18:30:33
496,hearts,22,15.0,19,2024-02-22 18:30:35
497,hearts,21,16.0,19,2024-02-22 18:31:52
498,hearts,22,16.0,20,2024-02-22 18:32:22
499,hearts,23,17.0,21,2024-02-22 18:33:08
500,hearts,25,17.0,23,2024-02-22 18:33:16
501,hearts,26,17.0,24,2024-02-22 18:33:19
502,hearts,27,17.0,25,2024-02-22 18:33:23
503,hearts,28,17.0,26,2024-02-22 18:33:49
504,hearts,29,17.0,27,2024-02-22 18:33:51
505,hearts,30,17.0,28,2024-02-22 18:34:33
